id,en,pl,fr,ru,de,ita,es,fi,br
SYSTEM_NEW_GAME,Begin,Rozpocznij,Commencer,Начать игру,Neues Spiel,Inizia,Empezar,Aloita,Novo Jogo
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Continuar
SYSTEM_LOAD,Load,Wczytaj grę,Charger,Загрузить,Laden,Carica,Cargar,Lataa,Carregar
SYSTEM_SAVE,Save,Zapisz grę,Sauvegarder,Сохранить,Speichern,Salva,Guardar,Tallenna,Salvar
SYSTEM_OPTIONS,Options,Ustawienia,Options,Настройки,Optionen,Opzioni,Opciones,Asetukset,Opções
SYSTEM_EXTRAS,Extras,Dodatki,Extras,Дополнительно,Extras,Extra,Extras,Extrat,Extras
SYSTEM_CREDITS,Credits,Autorzy,Crédits,Авторы,Credits,Crediti,Créditos,Kiitokset,Créditos
SYSTEM_QUIT,Quit,Wyjdź,Quitter,Выйти,Beenden,Esci,Salir,Lopeta,Sair
SYSTEM_LOADING,Loading,Wczytywanie,Chargement,Загрузка,Ladevorgang,Caricamento,Cargando,Ladataan,Carregando
SYSTEM_YES,Yes,Tak,Oui,Да,Ja,Si,Si,Kyllä,Sim
SYSTEM_NO,No,Nie,Non,Нет,Nein,No,No,Ei,Não
SYSTEM_OKAY,Okay,OK,OK,Хорошо,Okay,Ok,Ok,Ok,Ok
SYSTEM_CANCEL,Cancel,Anuluj,Annuler,Отменить,Abbrechen,Annulla,Cancelar,Peruuta,Cancelar
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Continuar
SYSTEM_SKIP,Skip,Pomiń,Passer,Пропустить,Überspringen,Salta,Saltar,Ohita,Pular
SYSTEM_LOG,Log,Historia,Log,Журнал,Journal,Storico,Registro,Historia,Histórico
SYSTEM_AUTOREAD,Autoread,Automatyczne przewijanie,Lecture automatique,Автопрокрутка,Autolesen,Autolettura,Lectura automática,Automaattiluku,Auto-Leitura
SYSTEM_USE,Use,Użyj,Utiliser,Использовать,Benutzen,Usa,Usar,Käytä,Usar
SYSTEM_QUITMESSAGE,Are you sure you want to quit?,Czy na pewno chcesz zakończyć grę?,Es-tu sur de vouloir quitter?,что хотите выйти?,Bist du sicher dass du das Spiel Beenden willst?,Sei sicuro di voler uscire?,¿Está seguro que desea salir?,Haluatko lopettaa?,Tem certeza de que deseja sair?
SYSTEM_CONFIRM,Confirm,Potwierdź,Confirmer,Подтвердить,Bestätigen,Conferma,Confirmar,Vahvista,Confirmar
,,,,,,,,
STAT_FIRST_NAME,First Name,Imię,Prénom,Имя,Vorname,Nome,Nombre,Etunimi,Primeiro Nome
STAT_SURNAME,Surname,Nazwisko,Nom de famille,Фамилия,Nachname,Cognome,Apellido,Sukunimi,Sobrenome
STAT_NICKNAME,Nickname,Przezwisko,Surnom,Прозвище,Spitzname,Soprannome,Apodo,Lempinimi,Apelido
STAT_GENDER,Gender,Płeć,Sexe,Пол,Geschlecht,Sesso,Sexo,Sukupuoli,Gênero
STAT_AGE,Age,Wiek,Âge,Возраст,Alter,Et??,Edad,Ikä,Idade
STAT_BLOODTYPE,Bloodtype,Grupa krwi,Groupe sanguin,Группа крови,Blutgruppe,Gruppo sanguigno,Tipo de sangre,Veriryhmä,Tipo Sanguíneo
STAT_DOB,Date of Birth,Data urodzenia,Date de naissance,Дата рождения,Geburtsdatum,Data di nascita,Fecha de nacimiento,Syntymäpäivä,Data De Nascimento
STAT_STRESS,Stress,Stres,Stress,Напряжённость,Stress,Stato Mentale,Estrés,Stressi,Estresse
STAT_CREATIVITY,Creativity,Kreatywność,Créativité,Креативность,Kreativität,Creativit??,Creatividad,Luovuus,Criatividade
STAT_INTELLIGENCE,Intelligence,Inteligencja,Intelligence,Интеллект,Intelligenz,Intelligenza,Inteligencia,Älykkyys,Inteligência
STAT_FITNESS,Fitness,Kondycja,Fitness,Спортивность,Gesundheit,Forma fisica,Forma física,Kunto,Forma Física
STAT_CHARM,Charm,Wdzięk,Charme,Обаяние,Charme,Fascino,Encanto,Viehätysvoima,Charme
STAT_SENSITIVITY,Sensitivity,Wrażliwość,Sensibilité,Чувствительность,Sensibilität,Sensibilit??,Sensibilidad,Herkkyys,Sensividade
STAT_MONEY,Money,Pieniądze,Argent,Деньги,Geld,Soldi,Dinero,Raha,Dinheiro
STAT_STAMINA,Stamina,Wytrzymałość,Endurance,Выносливость,Ausdauer,Resistenza fisica,Resistencia,Kestävyys,Energia
STAT_LUCK,Luck,Szczęście,Chance,Удача,Glück,Fortuna,Suerte,Onni,Sorte
,,,,,,,,
BLOODTYPE_A,A,A,A,A,A,A,A,A,A
BLOODTYPE_B,B,B,B,B,B,B,B,B,B
BLOODTYPE_AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
BLOODTYPE_O,O,O,O,O,O,O,O,O,O
,,,,,,,,
STAT_FIRST_NAME,First Name,First Name,First Name,First Name,First Name,First Name,First Name,First Name,Primeiro Nome
STAT_LAST_NAME,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Último Nome
STAT_SURNAME,Surname,Surname,Surname,Surname,Surname,Surname,Surname,Surname,Sobrenome
STAT_NICKNAME,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Apelido
STAT_GENDER,Gender,Gender,Gender,Gender,Gender,Gender,Gender,Gender,Gênero
STAT_AGE,Age,Age,Age,Age,Age,Age,Age,Age,Idade
STAT_BLOODTYPE,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Tipo Sanguíneo
STAT_DOB,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Data De Nascimento
,,,,,,,,
GENDER_MALE,Male,Mężczyzna,Masculin,Мужчина,Männlich,Maschio,Macho,Mies,Masculino
GENDER_FEMALE,Female,Kobieta,Féminin,Женщина,Weiblich,Femmina,Hembra,Nainen,Feminino
,,,,,,,,
PHONE_PROVIDER_BNET,bNet,bNet,bNet,bNet,bNet,bNet,bNet,bNet,bNet
PHONE_APP_SETTINGS,Settings,Ustawienia,Paramètres,Настройки,Einstellungen,Impostazioni,Configuración,Asetukset,Configurações
PHONE_APP_PHONE,Phone,Telefon,Téléphone,Телефон,Handy,Telefono,Teléfono,Puhelin,Telefone
PHONE_APP_CONTACTS,Contacts,Kontakty,Contacts,Контакты,Kontakte,Contatti,Contactos,Yhteystiedot,Contatos
PHONE_APP_CAMERA,Camera,Aparat,Camera,Камера,Kamera,Fotocamera,Cámara,Kamera,Câmera
PHONE_APP_CALENDER,Calender,Kalendarz,Calendrier,Календарь,Kalender,Calendario,Calendario,Kalenteri,Calendário
PHONE_APP_CLOCK,Clock,Zegar,Horloge,Часы,Uhr,Orologio,Reloj,Kello,Relógio
PHONE_APP_DOWNLOAD,Download,Pobrane,Téléchargements,Загрузки,Download,Download,descargas,Lataa,Download
PHONE_APP_GALLERY,Gallery,Galeria,Galerie,Галерея,Gallerie,Galleria,Galería,Galleria,Galeria
PHONE_APP_MAP,Map,Mapa,Carte,Карта,Karte,Mappa,Mapa,Kartta,Mapa
PHONE_APP_MUSIC,Music,Muzyka,Musique,Музыка,Musik,Musica,Música,Musiikki,Música
PHONE_APP_SMS,SMS,Wiadomości,SMS,СМС,SMS,SMS,SMS,Tekstiviesti,SMS
PHONE_APP_EMAIL,Email,Poczta,Email,Почта,Email,Email,Email,Sähköposti,E-Mail
PHONE_APP_INFO,Info,Informacje,Info,Информация,Info,Informazioni,Información,Tietoa,Informação
PHONE_APP_INVENTORY,Inventory,Ekwipunek,Inventaire,Инвентарь,Inventar,Inventario,inventario,Tavaraluettelo,Inventário
PHONE_APP_INTERNET,Internet,Internet,Internet,Интернет,Internet,Internet,Internet,Internet,Internet
PHONE_APP_UNIMPLEMENTED,Not Yet Implemented...,Niezaimplementowane...,Pas encore implémenté...,Пока не реализовано…,Noch nicht Verfügbar,Non ancora implementato...,Aún no implementado...,Ei vielä lisätty...,Não Implementado Ainda...
,,,,,,,,
INFO_PROOF_OF_CONCEPT_PREVIEW,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Prova De Conceito Final
,,,,,,,,
TEST_CHARACTER_FOLLOW,"Okay, let's go...","Okay, let's go...","Okay, Allons-y...","Okay, let's go...","Okay, let's go...","Okay, let's go...","Okay, vámonos...","Okei, mennään...","Ok, vamos..."
TEST_CHARACTER_WAIT,"Sure, I'll wait here.","Sure, I'll wait here.","Bien sur, j'attendrais ici.","Sure, I'll wait here.","Sure, I'll wait here.","Sure, I'll wait here.","Seguro, te esperaré aquí.","Selvä, odotan täällä.","Claro, esperarei aqui."
